Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41.00,Yes,Travel_Rarely,"1,102.00",Sales,1.00,2.00,Life Sciences,2.00,Female,94.00,3.00,2.00,Sales Executive,4.00,Single,"5,993.00","19,479.00",8.00,Yes,11.00,3.00,1.00,0.00,8.00,0.00,1.00,6.00,4.00,0.00,5.00
49.00,No,Travel_Frequently,279.00,Research & Development,8.00,1.00,Life Sciences,3.00,Male,61.00,2.00,2.00,Research Scientist,2.00,Married,"5,130.00","24,907.00",1.00,No,23.00,4.00,4.00,1.00,10.00,3.00,3.00,10.00,7.00,1.00,7.00
37.00,Yes,Travel_Rarely,"1,373.00",Research & Development,2.00,2.00,Other,4.00,Male,92.00,2.00,1.00,Laboratory Technician,3.00,Single,"2,090.00","2,396.00",6.00,Yes,15.00,3.00,2.00,0.00,7.00,3.00,3.00,0.00,0.00,0.00,0.00
33.00,No,Travel_Frequently,"1,392.00",Research & Development,3.00,4.00,Life Sciences,4.00,Female,56.00,3.00,1.00,Research Scientist,3.00,Married,"2,909.00","23,159.00",1.00,Yes,11.00,3.00,3.00,0.00,8.00,3.00,3.00,8.00,7.00,3.00,0.00
27.00,No,Travel_Rarely,591.00,Research & Development,2.00,1.00,Medical,1.00,Male,40.00,3.00,1.00,Laboratory Technician,2.00,Married,"3,468.00","16,632.00",9.00,No,12.00,3.00,4.00,1.00,6.00,3.00,3.00,2.00,2.00,2.00,2.00
32.00,No,Travel_Frequently,"1,005.00",Research & Development,2.00,2.00,Life Sciences,4.00,Male,79.00,3.00,1.00,Laboratory Technician,4.00,Single,"3,068.00","11,864.00",0.00,No,13.00,3.00,3.00,0.00,8.00,2.00,2.00,7.00,7.00,3.00,6.00
59.00,No,Travel_Rarely,"1,324.00",Research & Development,3.00,3.00,Medical,3.00,Female,81.00,4.00,1.00,Laboratory Technician,1.00,Married,"2,670.00","9,964.00",4.00,Yes,20.00,4.00,1.00,3.00,12.00,3.00,2.00,1.00,0.00,0.00,0.00
30.00,No,Travel_Rarely,"1,358.00",Research & Development,24.00,1.00,Life Sciences,4.00,Male,67.00,3.00,1.00,Laboratory Technician,3.00,Divorced,"2,693.00","13,335.00",1.00,No,22.00,4.00,2.00,1.00,1.00,2.00,3.00,1.00,0.00,0.00,0.00
38.00,No,Travel_Frequently,216.00,Research & Development,23.00,3.00,Life Sciences,4.00,Male,44.00,2.00,3.00,Manufacturing Director,3.00,Single,"9,526.00","8,787.00",0.00,No,21.00,4.00,2.00,0.00,10.00,2.00,3.00,9.00,7.00,1.00,8.00
36.00,No,Travel_Rarely,"1,299.00",Research & Development,27.00,3.00,Medical,3.00,Male,94.00,3.00,2.00,Healthcare Representative,3.00,Married,"5,237.00","16,577.00",6.00,No,13.00,3.00,2.00,2.00,17.00,3.00,2.00,7.00,7.00,7.00,7.00
